harness,pipeline_or_task,setting,value,introduced_commit,introduced_date,remediated_value,remediated_commit,remediated_date,era_relation,evidence_command,status,timeline_id,target,repository,setting_scope,event,previous_value,new_value,remediation,remediation_date,remediation_commit,current_snapshot_sha,path,source_text,notes
helm,GPQA task,max_tokens,1000,6f5ca606e0671c8c9d845415a089b37ebf3a3ef0,2024-11-04T14:13:12-08:00,,,,o1_to_r1_markers,git -C ecosystem_audit/_repos/helm show --format=fuller --stat 6f5ca606e0671c8c9d845415a089b37ebf3a3ef0 -- src/helm/benchmark/run_specs/lite_run_specs.py && git -C ecosystem_audit/_repos/helm show 6f5ca606e0671c8c9d845415a089b37ebf3a3ef0:src/helm/benchmark/run_specs/lite_run_specs.py,verified,T011,helm,stanford-crfm/helm,GPQA task,introduction,absent,1000,false,,,63754d05db6f874e41a395880fb573890a13e791,src/helm/benchmark/run_specs/lite_run_specs.py,max_tokens=1000,GPQA few-shot CoT introduction.
helm,GPQA task,max_tokens,2000,5f5c17edaf818bff7557ea9f10017597340743dc,2025-01-13T13:09:37-08:00,2000,5f5c17edaf818bff7557ea9f10017597340743dc,2025-01-13T13:09:37-08:00,post_r1_marker,git -C ecosystem_audit/_repos/helm show --format=fuller --stat 5f5c17edaf818bff7557ea9f10017597340743dc -- src/helm/benchmark/run_specs/lite_run_specs.py && git -C ecosystem_audit/_repos/helm show 5f5c17edaf818bff7557ea9f10017597340743dc:src/helm/benchmark/run_specs/lite_run_specs.py,verified,T012,helm,stanford-crfm/helm,GPQA task,remediation,1000,2000,true,2025-01-13T13:09:37-08:00,5f5c17edaf818bff7557ea9f10017597340743dc,63754d05db6f874e41a395880fb573890a13e791,src/helm/benchmark/run_specs/lite_run_specs.py,max_tokens=2000,Repository-wide reasoning cap increase included GPQA.
inspect_ai,provider fallback default,DEFAULT_MAX_TOKENS,1024,3f5bf2b3a6623dba680fae44236d4050f5d5c8d1,2024-05-01T17:46:38Z,,,,pre_o1_marker,git -C ecosystem_audit/_repos/inspect_ai show --format=fuller --stat 3f5bf2b3a6623dba680fae44236d4050f5d5c8d1 -- src/inspect_ai/_util/constants.py && git -C ecosystem_audit/_repos/inspect_ai show 3f5bf2b3a6623dba680fae44236d4050f5d5c8d1:src/inspect_ai/_util/constants.py,verified,T013,inspect_ai,UKGovernmentBEIS/inspect_ai,provider fallback default,introduction,absent,1024,false,,,f10dc46f20df0738a9acbfb4c4be0bd3d60601ed,src/inspect_ai/_util/constants.py,DEFAULT_MAX_TOKENS = 1024,Initial shared fallback.
inspect_ai,provider fallback default,DEFAULT_MAX_TOKENS,2048,ba272c786b2deda3932ff26127504a9c1c998d3a,2024-08-11T13:53:51-04:00,2048,ba272c786b2deda3932ff26127504a9c1c998d3a,2024-08-11T13:53:51-04:00,pre_o1_marker,git -C ecosystem_audit/_repos/inspect_ai show --format=fuller --stat ba272c786b2deda3932ff26127504a9c1c998d3a -- src/inspect_ai/_util/constants.py && git -C ecosystem_audit/_repos/inspect_ai show ba272c786b2deda3932ff26127504a9c1c998d3a:src/inspect_ai/_util/constants.py,verified,T014,inspect_ai,UKGovernmentBEIS/inspect_ai,provider fallback default,remediation,1024,2048,true,2024-08-11T13:53:51-04:00,ba272c786b2deda3932ff26127504a9c1c998d3a,f10dc46f20df0738a9acbfb4c4be0bd3d60601ed,src/inspect_ai/_util/constants.py,DEFAULT_MAX_TOKENS = 2048,Explicit default increase.
inspect_evals,MMLU non-CoT task,max_tokens,5,a709f9a140391abb372469967ae2765a9a1a6e3f,2025-06-16T10:11:47+02:00,,,,post_r1_marker,git -C ecosystem_audit/_repos/inspect_evals show --format=fuller --stat a709f9a140391abb372469967ae2765a9a1a6e3f -- src/inspect_evals/mmlu/mmlu.py && git -C ecosystem_audit/_repos/inspect_evals show a709f9a140391abb372469967ae2765a9a1a6e3f:src/inspect_evals/mmlu/mmlu.py,verified,T015,inspect_evals,UKGovernmentBEIS/inspect_evals,MMLU non-CoT task,introduction,absent,5,false,,,b31daf3f6f74ce48cb905d185a4c2afc524205b2,src/inspect_evals/mmlu/mmlu.py,max_tokens=5,MMLU implementation introduced a short non-CoT cap.
inspect_evals,MMLU GPT-5 minimum,GPT_5_MIN_TOKENS,16,a2f6fc7f62df2fbeb9aad84b4886ad5524e9210a,2026-01-12T18:58:10+10:00,16,a2f6fc7f62df2fbeb9aad84b4886ad5524e9210a,2026-01-12T18:58:10+10:00,post_r1_marker,git -C ecosystem_audit/_repos/inspect_evals show --format=fuller --stat a2f6fc7f62df2fbeb9aad84b4886ad5524e9210a -- src/inspect_evals/constants.py && git -C ecosystem_audit/_repos/inspect_evals show a2f6fc7f62df2fbeb9aad84b4886ad5524e9210a:src/inspect_evals/constants.py,verified,T016,inspect_evals,UKGovernmentBEIS/inspect_evals,MMLU GPT-5 minimum,remediation,5,16,true,2026-01-12T18:58:10+10:00,a2f6fc7f62df2fbeb9aad84b4886ad5524e9210a,b31daf3f6f74ce48cb905d185a4c2afc524205b2,src/inspect_evals/constants.py,GPT_5_MIN_TOKENS: int = 16,Raised for providers requiring at least 16 output tokens.
inspect_evals,MMLU reasoning mode,return None,None,03e89b723ce73d4ba2928586e5a693fbeb28b67c,2026-05-20T21:35:58-07:00,None,03e89b723ce73d4ba2928586e5a693fbeb28b67c,2026-05-20T21:35:58-07:00,post_r1_marker,git -C ecosystem_audit/_repos/inspect_evals show --format=fuller --stat 03e89b723ce73d4ba2928586e5a693fbeb28b67c -- src/inspect_evals/mmlu/mmlu.py && git -C ecosystem_audit/_repos/inspect_evals show 03e89b723ce73d4ba2928586e5a693fbeb28b67c:src/inspect_evals/mmlu/mmlu.py,verified,T017,inspect_evals,UKGovernmentBEIS/inspect_evals,MMLU reasoning mode,remediation,16,None,true,2026-05-20T21:35:58-07:00,03e89b723ce73d4ba2928586e5a693fbeb28b67c,b31daf3f6f74ce48cb905d185a4c2afc524205b2,src/inspect_evals/mmlu/mmlu.py,return None,Removed cap for reasoning-token configurations after truncation report.
inspect_evals,TAC agent task,max_tokens,4096,67cea7aea29dd480e30d6ce0be6847e229b313fe,2026-03-30T13:25:09-07:00,,,,post_r1_marker,git -C ecosystem_audit/_repos/inspect_evals show --format=fuller --stat 67cea7aea29dd480e30d6ce0be6847e229b313fe -- src/inspect_evals/tac/tac.py && git -C ecosystem_audit/_repos/inspect_evals show 67cea7aea29dd480e30d6ce0be6847e229b313fe:src/inspect_evals/tac/tac.py,verified,T018,inspect_evals,UKGovernmentBEIS/inspect_evals,TAC agent task,introduction,absent,4096,false,,,b31daf3f6f74ce48cb905d185a4c2afc524205b2,src/inspect_evals/tac/tac.py,max_tokens=4096,Initial TAC implementation.
inspect_evals,TAC agent task,max_tokens,16384,f1409587717f1c609a5567701f8cc77ad62bc71e,2026-07-01T04:10:26+10:00,16384,f1409587717f1c609a5567701f8cc77ad62bc71e,2026-07-01T04:10:26+10:00,post_r1_marker,git -C ecosystem_audit/_repos/inspect_evals show --format=fuller --stat f1409587717f1c609a5567701f8cc77ad62bc71e -- src/inspect_evals/tac/tac.py && git -C ecosystem_audit/_repos/inspect_evals show f1409587717f1c609a5567701f8cc77ad62bc71e:src/inspect_evals/tac/tac.py,verified,T019,inspect_evals,UKGovernmentBEIS/inspect_evals,TAC agent task,remediation,4096,16384,true,2026-07-01T04:10:26+10:00,f1409587717f1c609a5567701f8cc77ad62bc71e,b31daf3f6f74ce48cb905d185a4c2afc524205b2,src/inspect_evals/tac/tac.py,max_tokens=16384,Reasoning effort consumed the completion budget; cap raised.
simple-evals,chat-completion sampler default,max_tokens,1024,fea8034e549e4c1d98636acdfef9ed4a62925d10,2024-04-11T17:49:11-05:00,,,,pre_o1_marker,git -C ecosystem_audit/_repos/simple-evals show --format=fuller --stat fea8034e549e4c1d98636acdfef9ed4a62925d10 -- sampler/chat_completion_sampler.py && git -C ecosystem_audit/_repos/simple-evals show fea8034e549e4c1d98636acdfef9ed4a62925d10:sampler/chat_completion_sampler.py,verified,T020,simple-evals,openai/simple-evals,chat-completion sampler default,introduction,absent,1024,false,,,652c89d0ca9df547706735883097e9537d40dc47,sampler/chat_completion_sampler.py,max_tokens: int = 1024,Initial sampler default.
simple-evals,OpenAI evaluation runner configs,max_tokens,2048,9ffb2268c5bac5e74d8bdceb4b0f8c80b2f42014,2024-11-20T15:02:26-08:00,,,,o1_to_r1_markers,git -C ecosystem_audit/_repos/simple-evals show --format=fuller --stat 9ffb2268c5bac5e74d8bdceb4b0f8c80b2f42014 -- simple_evals.py && git -C ecosystem_audit/_repos/simple-evals show 9ffb2268c5bac5e74d8bdceb4b0f8c80b2f42014:simple_evals.py,verified,T021,simple-evals,openai/simple-evals,OpenAI evaluation runner configs,introduction,absent,2048,false,,,652c89d0ca9df547706735883097e9537d40dc47,simple_evals.py,max_tokens=2048,Explicit runner caps added for evaluated models.
lighteval,GSM8K task,generation_size,256,e469d7e278e9a30fa5013afd47bfb50c3a7ae3bc,2024-01-26T14:52:23+01:00,,,,pre_o1_marker,git -C ecosystem_audit/_repos/lighteval show --format=fuller --stat e469d7e278e9a30fa5013afd47bfb50c3a7ae3bc -- src/lighteval/tasks/tasks_table.jsonl && git -C ecosystem_audit/_repos/lighteval show e469d7e278e9a30fa5013afd47bfb50c3a7ae3bc:src/lighteval/tasks/tasks_table.jsonl,verified,T022,lighteval,huggingface/lighteval,GSM8K task,introduction,absent,256,false,,,64f4f5ae173626509fad6e477ca4ee56ebb26129,src/lighteval/tasks/tasks_table.jsonl,"""generation_size"":256",Initial task table.
lighteval,MATH task,generation_size,None,e469d7e278e9a30fa5013afd47bfb50c3a7ae3bc,2024-01-26T14:52:23+01:00,,,,pre_o1_marker,git -C ecosystem_audit/_repos/lighteval show --format=fuller --stat e469d7e278e9a30fa5013afd47bfb50c3a7ae3bc -- src/lighteval/tasks/tasks_table.jsonl && git -C ecosystem_audit/_repos/lighteval show e469d7e278e9a30fa5013afd47bfb50c3a7ae3bc:src/lighteval/tasks/tasks_table.jsonl,verified,T023,lighteval,huggingface/lighteval,MATH task,introduction,absent,None,false,,,64f4f5ae173626509fad6e477ca4ee56ebb26129,src/lighteval/tasks/tasks_table.jsonl,"""generation_size"":null",Initial MATH tasks delegated output length.
lighteval,MATH task,generation_size,2048,458d50b0b83dc0f524963d9148ccb6e7273918a3,2024-03-04T16:40:31+01:00,2048,458d50b0b83dc0f524963d9148ccb6e7273918a3,2024-03-04T16:40:31+01:00,pre_o1_marker,git -C ecosystem_audit/_repos/lighteval show --format=fuller --stat 458d50b0b83dc0f524963d9148ccb6e7273918a3 -- src/lighteval/tasks/tasks_table.jsonl && git -C ecosystem_audit/_repos/lighteval show 458d50b0b83dc0f524963d9148ccb6e7273918a3:src/lighteval/tasks/tasks_table.jsonl,verified,T024,lighteval,huggingface/lighteval,MATH task,remediation,None,2048,true,2024-03-04T16:40:31+01:00,458d50b0b83dc0f524963d9148ccb6e7273918a3,64f4f5ae173626509fad6e477ca4ee56ebb26129,src/lighteval/tasks/tasks_table.jsonl,"""generation_size"":2048",Explicit cap added to bound long-context models and fix issue 80.
lighteval,GPQA instruct task,generation_size,32768,1ce7331f0a30aaee6256b2fb736b19047b4d98b4,2025-02-05T16:39:47+01:00,,,,post_r1_marker,git -C ecosystem_audit/_repos/lighteval show --format=fuller --stat 1ce7331f0a30aaee6256b2fb736b19047b4d98b4 -- src/lighteval/tasks/default_tasks.py && git -C ecosystem_audit/_repos/lighteval show 1ce7331f0a30aaee6256b2fb736b19047b4d98b4:src/lighteval/tasks/default_tasks.py,verified,T025,lighteval,huggingface/lighteval,GPQA instruct task,introduction,absent,32768,false,,,64f4f5ae173626509fad6e477ca4ee56ebb26129,src/lighteval/tasks/default_tasks.py,generation_size=32768,Reasoning model accommodation at introduction.
lighteval,AIME 2024 task,generation_size,32768,4c9af85c985ec157a54575d9e0b04b31fbc13539,2025-02-25T18:06:17+01:00,,,,post_r1_marker,git -C ecosystem_audit/_repos/lighteval show --format=fuller --stat 4c9af85c985ec157a54575d9e0b04b31fbc13539 -- src/lighteval/tasks/default_tasks.py && git -C ecosystem_audit/_repos/lighteval show 4c9af85c985ec157a54575d9e0b04b31fbc13539:src/lighteval/tasks/default_tasks.py,verified,T026,lighteval,huggingface/lighteval,AIME 2024 task,introduction,absent,32768,false,,,64f4f5ae173626509fad6e477ca4ee56ebb26129,src/lighteval/tasks/default_tasks.py,generation_size=32768,AIME task introduction.
lighteval,AIME 2024 task,generation_size,None,9288bd84e0bd20a482eb5186ce40ab574731dda7,2025-06-25T16:24:55+02:00,None,9288bd84e0bd20a482eb5186ce40ab574731dda7,2025-06-25T16:24:55+02:00,post_r1_marker,git -C ecosystem_audit/_repos/lighteval show --format=fuller --stat 9288bd84e0bd20a482eb5186ce40ab574731dda7 -- src/lighteval/tasks/default_tasks.py && git -C ecosystem_audit/_repos/lighteval show 9288bd84e0bd20a482eb5186ce40ab574731dda7:src/lighteval/tasks/default_tasks.py,verified,T027,lighteval,huggingface/lighteval,AIME 2024 task,remediation,32768,None,true,2025-06-25T16:24:55+02:00,9288bd84e0bd20a482eb5186ce40ab574731dda7,64f4f5ae173626509fad6e477ca4ee56ebb26129,src/lighteval/tasks/default_tasks.py,generation_size=None,Explicit cap removed during task refactor.
lighteval,MATH-500 task,generation_size,32768,4c9af85c985ec157a54575d9e0b04b31fbc13539,2025-02-25T18:06:17+01:00,,,,post_r1_marker,git -C ecosystem_audit/_repos/lighteval show --format=fuller --stat 4c9af85c985ec157a54575d9e0b04b31fbc13539 -- src/lighteval/tasks/default_tasks.py && git -C ecosystem_audit/_repos/lighteval show 4c9af85c985ec157a54575d9e0b04b31fbc13539:src/lighteval/tasks/default_tasks.py,verified,T028,lighteval,huggingface/lighteval,MATH-500 task,introduction,absent,32768,false,,,64f4f5ae173626509fad6e477ca4ee56ebb26129,src/lighteval/tasks/default_tasks.py,generation_size=32768,Reasoning task introduction.
livebench,generation CLI default,default,4096,686be1e78a0ba8036d7e355bc406e1a265da5292,2024-06-12T15:06:47Z,,,,pre_o1_marker,git -C ecosystem_audit/_repos/livebench show --format=fuller --stat 686be1e78a0ba8036d7e355bc406e1a265da5292 -- livebench/gen_api_answer.py && git -C ecosystem_audit/_repos/livebench show 686be1e78a0ba8036d7e355bc406e1a265da5292:livebench/gen_api_answer.py,verified,T029,livebench,LiveBench/LiveBench,generation CLI default,introduction,absent,4096,false,,,00eae856aa1c1a9e9d058a65a9a94d85884034c4,livebench/gen_api_answer.py,default=4096,Initial public file drop.
math-verify,GSM8K/MATH evaluation task,generation_size,1024,b89d9c5aa3e5ac4f5497d32e3dd922f0e5f1c983,2025-01-17T12:10:26+01:00,,,,post_r1_marker,git -C ecosystem_audit/_repos/math-verify show --format=fuller --stat b89d9c5aa3e5ac4f5497d32e3dd922f0e5f1c983 -- math_evaluator/tasks.py && git -C ecosystem_audit/_repos/math-verify show b89d9c5aa3e5ac4f5497d32e3dd922f0e5f1c983:math_evaluator/tasks.py,verified,T030,math-verify,huggingface/Math-Verify,GSM8K/MATH evaluation task,introduction,absent,1024,false,,,ba3d3aaff23b3f4cac7a14672b4f6e293d97c98b,math_evaluator/tasks.py,generation_size=1024,Initial evaluator example tasks.
matharena,AIME competition default,default_max_tokens,8000,d0e52121163ac4cac8c0f5d4a3b11b100fc08871,2025-02-12T22:57:35+01:00,,,,post_r1_marker,git -C ecosystem_audit/_repos/matharena show --format=fuller --stat d0e52121163ac4cac8c0f5d4a3b11b100fc08871 -- data/aime/aime_2024_I/config.yaml && git -C ecosystem_audit/_repos/matharena show d0e52121163ac4cac8c0f5d4a3b11b100fc08871:data/aime/aime_2024_I/config.yaml,verified,T031,matharena,eth-sri/matharena,AIME competition default,introduction,absent,8000,false,,,a11194deff8c67a232974a383795e8a2776b4c6f,data/aime/aime_2024_I/config.yaml,default_max_tokens: 8000,Initial competition default.
matharena,DeepSeek R1 model config,max_tokens,32000,d0e52121163ac4cac8c0f5d4a3b11b100fc08871,2025-02-12T22:57:35+01:00,,,,post_r1_marker,git -C ecosystem_audit/_repos/matharena show --format=fuller --stat d0e52121163ac4cac8c0f5d4a3b11b100fc08871 -- configs/deepseek/deepseek_r1.yaml && git -C ecosystem_audit/_repos/matharena show d0e52121163ac4cac8c0f5d4a3b11b100fc08871:configs/deepseek/deepseek_r1.yaml,verified,T032,matharena,eth-sri/matharena,DeepSeek R1 model config,introduction,absent,32000,false,,,a11194deff8c67a232974a383795e8a2776b4c6f,configs/deepseek/deepseek_r1.yaml,max_tokens: 32000,Initial reasoning-model override.
matharena,OpenAI o1 model config,max_tokens,None,d0e52121163ac4cac8c0f5d4a3b11b100fc08871,2025-02-12T22:57:35+01:00,,,,post_r1_marker,git -C ecosystem_audit/_repos/matharena show --format=fuller --stat d0e52121163ac4cac8c0f5d4a3b11b100fc08871 -- configs/openai/o1.yaml && git -C ecosystem_audit/_repos/matharena show d0e52121163ac4cac8c0f5d4a3b11b100fc08871:configs/openai/o1.yaml,verified,T033,matharena,eth-sri/matharena,OpenAI o1 model config,introduction,absent,None,false,,,a11194deff8c67a232974a383795e8a2776b4c6f,configs/openai/o1.yaml,max_tokens: null,Initial uncapped reasoning-model override.
opencompass,AIME task cap,task-local output cap,,,,,,,not_traceable,git -C ecosystem_audit/_repos/opencompass grep -n -i -E 'aime.*(max_out_len|max_tokens)|(max_out_len|max_tokens).*aime' 96263b1a16899260586c8e945eea06934c43c225 -- configs,not_traceable,T034,opencompass,open-compass/opencompass,AIME task cap,search,,,false,,,96263b1a16899260586c8e945eea06934c43c225,configs/,,not found at configs/ searched at pinned snapshot 96263b1a16899260586c8e945eea06934c43c225; no provider default guessed.
opencompass,GPQA task cap,task-local output cap,,,,,,,not_traceable,git -C ecosystem_audit/_repos/opencompass grep -n -i -E 'gpqa.*(max_out_len|max_tokens)|(max_out_len|max_tokens).*gpqa' 96263b1a16899260586c8e945eea06934c43c225 -- configs,not_traceable,T035,opencompass,open-compass/opencompass,GPQA task cap,search,,,false,,,96263b1a16899260586c8e945eea06934c43c225,configs/,,not found at configs/ searched at pinned snapshot 96263b1a16899260586c8e945eea06934c43c225; no provider default guessed.
