finding_id,target,category,claim,repository,sha,path,line_start,line_end,permalink,quote,status
F011,opencompass,truncation_report,OpenICL evaluator aggregates finish reasons into results.,open-compass/opencompass,96263b1a16899260586c8e945eea06934c43c225,opencompass/tasks/openicl_eval.py,384,400,https://github.com/open-compass/opencompass/blob/96263b1a16899260586c8e945eea06934c43c225/opencompass/tasks/openicl_eval.py#L384-L400,"            for pred_sample in replica_pred_strs:
                replica_total_neg_logprob += pred_sample['rollout'][
                    'sum_neg_logprob']
                replica_total_tokens += pred_sample['rollout']['num_tokens']
                replica_finish_counts[pred_sample['rollout']
                                      ['finish_reason']] += 1
                if pred_sample['rollout']['num_tokens'] > 0:
                    replica_successful_samples += 1

            replica_entropy_nats = replica_total_neg_logprob / replica_total_tokens
            replica_avg_length = replica_total_tokens / replica_successful_samples if replica_successful_samples > 0 else 0.0

            result[f'{i}_th rollout results'] = dict(
                total_neg_logprob=replica_total_neg_logprob,
                total_tokens=replica_total_tokens,
                finish_reason=replica_finish_counts,
                successful_samples=replica_successful_samples,
",verified
F012,helm,default_cap,Request schema defaults max_tokens to 100.,stanford-crfm/helm,63754d05db6f874e41a395880fb573890a13e791,src/helm/common/request.py,39,43,https://github.com/stanford-crfm/helm/blob/63754d05db6f874e41a395880fb573890a13e791/src/helm/common/request.py#L39-L43,"    top_k_per_token: int = 1
    """"""Take this many highest probability candidates per token in the completion""""""

    max_tokens: int = 100
    """"""Maximum number of tokens to generate (per completion)""""""
",verified
F013,helm,truncation_capture,Together client copies provider finish_reason into GeneratedOutput.,stanford-crfm/helm,63754d05db6f874e41a395880fb573890a13e791,src/helm/clients/together_client.py,307,315,https://github.com/stanford-crfm/helm/blob/63754d05db6f874e41a395880fb573890a13e791/src/helm/clients/together_client.py#L307-L315,"            raw_finish_reason: Optional[str] = raw_completion.get(""finish_reason"")
            finish_reason: Optional[Dict] = {""reason"": raw_finish_reason} if raw_finish_reason else None

            completion = GeneratedOutput(
                text=cleanup_str(raw_completion[""text""], ""together""),
                logprob=sequence_logprob,
                tokens=tokens,
                finish_reason=finish_reason,
            )
",verified
F014,helm,truncation_report,"Basic metrics expose length, stop, endoftext, and unknown finish-reason counters.",stanford-crfm/helm,63754d05db6f874e41a395880fb573890a13e791,src/helm/benchmark/metrics/basic_metrics.py,432,451,https://github.com/stanford-crfm/helm/blob/63754d05db6f874e41a395880fb573890a13e791/src/helm/benchmark/metrics/basic_metrics.py#L432-L451,"def _compute_finish_reason_metrics(
    adapter_spec: AdapterSpec, request_state: RequestState, metric_service: MetricService
) -> List[Stat]:
    """"""Record how often generation finished due to reaching token limit, stop token(s), or end of text""""""
    assert request_state.result is not None
    sequence = request_state.result.completions[0]
    valid_reasons = [
        ""length"",
        ""stop"",
        ""endoftext"",
        ""unknown"",
    ]
    if sequence.finish_reason is None or sequence.finish_reason[""reason""] not in valid_reasons:
        reason = ""unknown""
    else:
        reason = sequence.finish_reason[""reason""]
    return [
        Stat(MetricName(f""finish_reason_{valid_reason}"")).add(int(reason == valid_reason))
        for valid_reason in valid_reasons
    ]
",verified
F015,helm,scoring_call,BasicGenerationMetric invokes reference metrics on generated request state.,stanford-crfm/helm,63754d05db6f874e41a395880fb573890a13e791,src/helm/benchmark/metrics/basic_metrics.py,199,215,https://github.com/stanford-crfm/helm/blob/63754d05db6f874e41a395880fb573890a13e791/src/helm/benchmark/metrics/basic_metrics.py#L199-L215,"    def evaluate_generation(
        self,
        adapter_spec: AdapterSpec,
        request_state: RequestState,
        metric_service: MetricService,
        eval_cache_path: str,
    ) -> List[Stat]:
        """"""Compute all metrics.""""""
        stats: List[Stat] = []
        stats.extend(compute_request_state_metrics(self.efficiency_metric, adapter_spec, request_state, metric_service))

        if len(request_state.instance.references) > 0:
            stats.extend(compute_reference_metrics(self.names, adapter_spec, request_state, metric_service))

        stats.extend(compute_language_modeling_metrics(adapter_spec, request_state, metric_service))

        return stats
",verified
F016,inspect_ai,default_cap,GenerateConfig leaves max_tokens unset and delegates the default to the model.,UKGovernmentBEIS/inspect_ai,f10dc46f20df0738a9acbfb4c4be0bd3d60601ed,src/inspect_ai/model/_generate_config.py,198,220,https://github.com/UKGovernmentBEIS/inspect_ai/blob/f10dc46f20df0738a9acbfb4c4be0bd3d60601ed/src/inspect_ai/model/_generate_config.py#L198-L220,"class GenerateConfig(BaseModel):
    """"""Model generation options.""""""

    max_retries: int | None = Field(default=None)
    """"""Maximum number of times to retry request, so e.g. 1 allows two attempts total (defaults to unlimited).""""""

    timeout: int | None = Field(default=None)
    """"""Timeout (in seconds) for an entire request (including retries).""""""

    attempt_timeout: int | None = Field(default=None)
    """"""Timeout (in seconds) for any given attempt (if exceeded, will abandon attempt and retry according to max_retries).""""""

    max_connections: int | None = Field(default=None)
    """"""Maximum number of concurrent connections to Model API (default is model specific).""""""

    adaptive_connections: bool | int | AdaptiveConcurrency | None = Field(default=None)
    """"""Adaptive concurrency for model API connections. Defaults to enabled (`None` and `True` both resolve to `AdaptiveConcurrency()` defaults: min=10, start=20, max=100). Pass `False` to opt out (uses static concurrency). Pass an integer `N` as shorthand for `AdaptiveConcurrency(max=N)`. Pass an `AdaptiveConcurrency` to fully customize bounds and tuning (cooldown_seconds, decrease_factor, scale_up_percent). An explicit `max_connections` or `batch=True` takes precedence and uses static concurrency.""""""

    system_message: str | None = Field(default=None)
    """"""Override the default system message.""""""

    max_tokens: int | None = Field(default=None)
    """"""The maximum number of tokens that can be generated in the completion (default is model specific).""""""
",verified
F017,inspect_ai,truncation_capture,Model output stores stop_reason and normalizes legacy length to max_tokens.,UKGovernmentBEIS/inspect_ai,f10dc46f20df0738a9acbfb4c4be0bd3d60601ed,src/inspect_ai/model/_model_output.py,224,256,https://github.com/UKGovernmentBEIS/inspect_ai/blob/f10dc46f20df0738a9acbfb4c4be0bd3d60601ed/src/inspect_ai/model/_model_output.py#L224-L256,"class ChatCompletionChoice(BaseModel):
    """"""Choice generated for completion.""""""

    message: ChatMessageAssistant
    """"""Assistant message.""""""

    stop_reason: StopReason = Field(default=""unknown"")
    """"""Reason that the model stopped generating.""""""

    stop_details: StopDetails | None = Field(default=None)
    """"""Additional detail about the stop reason (e.g. refusal category/explanation), when provided.""""""

    logprobs: Logprobs | None = Field(default=None)
    """"""Logprobs.""""""

    prompt_logprobs: Logprobs | None = Field(default=None)
    """"""Per-prompt-token log probabilities (vLLM only).

    Placed on the choice (not ``ModelOutput``) so scorers access prompt
    and output logprobs uniformly via ``choices[0]``.  Perplexity evals
    use ``num_choices=1``, so there is no duplication in practice.""""""

    @model_validator(mode=""before"")
    @classmethod
    def migrate_stop_reason(cls: Type[""ChatCompletionChoice""], values: Any) -> Any:
        if not isinstance(values, dict):
            return values
        if ""stop_reason"" in values:
            stop_reason = values[""stop_reason""]
            if stop_reason == ""length"":
                values[""stop_reason""] = ""max_tokens""

        return values
",verified
F018,inspect_ai,scoring,Core match supports end-position numeric scoring after normalization.,UKGovernmentBEIS/inspect_ai,f10dc46f20df0738a9acbfb4c4be0bd3d60601ed,src/inspect_ai/scorer/_match.py,9,42,https://github.com/UKGovernmentBEIS/inspect_ai/blob/f10dc46f20df0738a9acbfb4c4be0bd3d60601ed/src/inspect_ai/scorer/_match.py#L9-L42,"def match(
    location: Literal[""begin"", ""end"", ""any"", ""exact""] = ""end"",
    *,
    ignore_case: bool = True,
    numeric: bool = False,
) -> Scorer:
    """"""Scorer which matches text or a number.

    Args:
       location: Location to match at. ""any"" matches anywhere in the
          output; ""exact"" requires the output be exactly
          equal to the target (module whitespace, etc.)
       ignore_case: Do case insensitive comparison.
       numeric: Is this a numeric match? When True, currency symbols
          (`$`, `€`, `£`), thousands separators (`,`), and formatting
          markers (`*`, `_`) are stripped before numbers are normalized
          and compared. The percent sign is not stripped: `60%` is
          ambiguous (it could mean `60` or `0.6`), so an answer of `60%`
          will not match a numeric target of `60`. To accept a
          percentage-formatted answer, pass both forms as targets, e.g.
          `Target([""60"", ""60%""])`, where the non-numeric `""60%""` is
          matched as a string.
    """"""

    def check(value: str, target: str) -> tuple[str, bool]:
        return match_str(
            value=value,
            target=target,
            location=location,
            ignore_case=ignore_case,
            numeric=numeric,
        )

    return str_match_scorer(check)
",verified
F019,inspect_evals,task_cap_inheritance,"AIME 2026 task provides no GenerateConfig, so core model-specific cap resolution applies.",UKGovernmentBEIS/inspect_evals,b31daf3f6f74ce48cb905d185a4c2afc524205b2,src/inspect_evals/aime2026/aime2026.py,16,34,https://github.com/UKGovernmentBEIS/inspect_evals/blob/b31daf3f6f74ce48cb905d185a4c2afc524205b2/src/inspect_evals/aime2026/aime2026.py#L16-L34,"@task
def aime2026() -> Task:
    """"""Inspect Task implementation for the AIME 2026 benchmark.""""""
    dataset = hf_dataset(
        path=DATASET_PATH,
        split=""test"",
        sample_fields=record_to_sample,
        revision=AIME2026_DATASET_REVISION,
    )

    return Task(
        dataset=dataset,
        solver=aime_solver(),
        scorer=[
            aime_scorer(),
        ],
        version=EVAL_VERSION.comparability_version,
        metadata=EVAL_VERSION.to_metadata(),
    )
",verified
F020,inspect_evals,extraction_scoring,"AIME scorer takes the last nonempty line, removes boxed syntax, and invokes numeric match; empty output is incorrect.",UKGovernmentBEIS/inspect_evals,b31daf3f6f74ce48cb905d185a4c2afc524205b2,src/inspect_evals/utils/aime_common.py,37,59,https://github.com/UKGovernmentBEIS/inspect_evals/blob/b31daf3f6f74ce48cb905d185a4c2afc524205b2/src/inspect_evals/utils/aime_common.py#L37-L59,"@scorer(metrics=[accuracy(), stderr()])
def aime_scorer() -> Scorer:
    async def score(state: TaskState, target: Target) -> Score:
        raw = state.output.completion
        lines = raw.strip().splitlines()
        if not lines:
            return Score(
                value=INCORRECT,
                explanation=""Model produced empty completion"",
            )
        last_line = lines[-1]
        cleaned = remove_boxed_from_ans(last_line)
        state.output.completion = cleaned

        result = await match(numeric=True)(state, target)
        if result is None:
            raise ValueError(""No result found"")

        result.metadata = {""unprocessed_answer"": raw, ""cleaned_answer"": cleaned}

        return result

    return score
",verified
F021,inspect_evals,task_cap,TAC explicitly raises the task cap to 16384 at medium reasoning effort.,UKGovernmentBEIS/inspect_evals,b31daf3f6f74ce48cb905d185a4c2afc524205b2,src/inspect_evals/tac/tac.py,48,58,https://github.com/UKGovernmentBEIS/inspect_evals/blob/b31daf3f6f74ce48cb905d185a4c2afc524205b2/src/inspect_evals/tac/tac.py#L48-L58,"            confirm_to_complete(),
        ],
        scorer=tac_scorer(),
        epochs=3,
        max_messages=30,
        version=EVAL_VERSION.comparability_version,
        metadata=EVAL_VERSION.to_metadata(),
        config=GenerateConfig(
            max_tokens=16384,
            reasoning_effort=""medium"",
        ),
",verified
F022,simple-evals,default_cap,ChatCompletionSampler defaults max_tokens to 1024.,openai/simple-evals,652c89d0ca9df547706735883097e9537d40dc47,sampler/chat_completion_sampler.py,21,34,https://github.com/openai/simple-evals/blob/652c89d0ca9df547706735883097e9537d40dc47/sampler/chat_completion_sampler.py#L21-L34,"    def __init__(
        self,
        model: str = ""gpt-3.5-turbo"",
        system_message: str | None = None,
        temperature: float = 0.5,
        max_tokens: int = 1024,
    ):
        self.api_key_name = ""OPENAI_API_KEY""
        self.client = OpenAI()
        # using api_key=os.environ.get(""OPENAI_API_KEY"")  # please set your API_KEY
        self.model = model
        self.system_message = system_message
        self.temperature = temperature
        self.max_tokens = max_tokens
",verified
F023,simple-evals,extraction_scoring,MATH extracts ANSWER_PATTERN group 1 or None and passes it to the equality checker.,openai/simple-evals,652c89d0ca9df547706735883097e9537d40dc47,math_eval.py,45,60,https://github.com/openai/simple-evals/blob/652c89d0ca9df547706735883097e9537d40dc47/math_eval.py#L45-L60,"    def __call__(self, sampler: SamplerBase) -> EvalResult:
        def fn(row: dict):
            prompt_messages = [
                sampler._pack_message(content=QUERY_TEMPLATE.format(**row), role=""user"")
            ]
            sampler_response = sampler(prompt_messages)
            response_text = sampler_response.response_text
            actual_queried_prompt_messages = sampler_response.actual_queried_message_list
            match = re.search(ANSWER_PATTERN, response_text)
            extracted_answer = match.group(1) if match else None
            score = float(check_equality(self.equality_checker, row[""Answer""], extracted_answer))
            html = common.jinja_env.from_string(HTML_JINJA).render(
                prompt_messages=actual_queried_prompt_messages,
                next_message=dict(content=response_text, role=""assistant""),
                score=score,
                correct_answer=row[""Answer""],
",verified
F024,simple-evals,extraction_scoring,GPQA extracts one regex group or None and compares it to the shuffled correct letter.,openai/simple-evals,652c89d0ca9df547706735883097e9537d40dc47,gpqa_eval.py,56,67,https://github.com/openai/simple-evals/blob/652c89d0ca9df547706735883097e9537d40dc47/gpqa_eval.py#L56-L67,"            sampler_response = sampler(prompt_messages)
            response_text = sampler_response.response_text
            actual_queried_prompt_messages = sampler_response.actual_queried_message_list
            match = re.search(ANSWER_PATTERN_MULTICHOICE, response_text)
            extracted_answer = match.group(1) if match else None
            score = 1.0 if extracted_answer == correct_answer else 0.0
            html = common.jinja_env.from_string(HTML_JINJA).render(
                prompt_messages=actual_queried_prompt_messages,
                next_message=dict(content=response_text, role=""assistant""),
                score=score,
                correct_answer=correct_answer,
                extracted_answer=extracted_answer,
",verified
F025,lighteval,default_cap,Task generation_size defaults to None.,huggingface/lighteval,64f4f5ae173626509fad6e477ca4ee56ebb26129,src/lighteval/tasks/lighteval_task.py,137,140,https://github.com/huggingface/lighteval/blob/64f4f5ae173626509fad6e477ca4ee56ebb26129/src/lighteval/tasks/lighteval_task.py#L137-L140,"    # Generation args
    generation_size: int | None = None
    generation_grammar: TextGenerationInputGrammarType | None = None
    stop_sequence: ListLike[str] | None = None
",verified
F026,lighteval,default_cap_resolution,Transformers resolves max_new_tokens from model generation parameters or task generation_size.,huggingface/lighteval,64f4f5ae173626509fad6e477ca4ee56ebb26129,src/lighteval/models/transformers/transformers_model.py,559,564,https://github.com/huggingface/lighteval/blob/64f4f5ae173626509fad6e477ca4ee56ebb26129/src/lighteval/models/transformers/transformers_model.py#L559-L564,"                # stop_tokens and max_tokens genrated) which is not necessarily
                # the case! Because of that we only use batch size of 1
                stop_tokens = split[0].stop_sequence

            max_new_tokens = self.config.generation_parameters.max_new_tokens or split[0].generation_size
            returns_logits = split[0].use_logits
",verified
F027,lighteval,task_cap_inheritance,AIME 24 explicitly leaves generation_size None.,huggingface/lighteval,64f4f5ae173626509fad6e477ca4ee56ebb26129,src/lighteval/tasks/tasks/aime.py,64,78,https://github.com/huggingface/lighteval/blob/64f4f5ae173626509fad6e477ca4ee56ebb26129/src/lighteval/tasks/tasks/aime.py#L64-L78,"aime24 = LightevalTaskConfig(
    name=""aime24"",
    prompt_function=aime_prompt,
    sample_fields=record_to_sample,
    solver=[prompt_template(MATH_PROMPT_TEMPLATE), generate(cache=True)],
    scorer=math_scorer(),
    hf_repo=""HuggingFaceH4/aime_2024"",
    hf_subset=""default"",
    hf_avail_splits=[""train""],
    evaluation_splits=[""train""],
    few_shots_split=None,
    few_shots_select=None,
    generation_size=None,
    metrics=[Metrics.pass_at_k_math(sample_params={""k"": 1}), Metrics.avg_at_n_math(sample_params={""n"": 1})],
    version=2,
",verified
F028,lighteval,task_cap,GPQA multiple choice sets generation_size to one and a newline stop.,huggingface/lighteval,64f4f5ae173626509fad6e477ca4ee56ebb26129,src/lighteval/tasks/tasks/gpqa.py,108,124,https://github.com/huggingface/lighteval/blob/64f4f5ae173626509fad6e477ca4ee56ebb26129/src/lighteval/tasks/tasks/gpqa.py#L108-L124,"gpqa = LightevalTaskConfig(
    name=""gpqa:mc"",
    prompt_function=gpqa_prompt,
    sample_fields=record_to_sample,
    sample_to_fewshot=sample_to_fewshot,
    solver=[multiple_choice(cache=True)],
    scorer=choice(),
    hf_repo=""Idavidrein/gpqa"",
    hf_subset=""gpqa_main"",
    hf_avail_splits=[""train""],
    evaluation_splits=[""train""],
    few_shots_split=None,
    few_shots_select=""random_sampling"",
    generation_size=1,
    metrics=[Metrics.loglikelihood_acc],
    stop_sequence=[""\n""],
    version=0,
",verified
F029,lighteval,extraction_fallback,Extractive match sorts matches rightmost-first and can append the first failed-parse string fallback.,huggingface/lighteval,64f4f5ae173626509fad6e477ca4ee56ebb26129,src/lighteval/metrics/utils/extractive_match_utils.py,590,632,https://github.com/huggingface/lighteval/blob/64f4f5ae173626509fad6e477ca4ee56ebb26129/src/lighteval/metrics/utils/extractive_match_utils.py#L590-L632,"    # Get all patterns and sort by priority
    all_patterns = [
        (pattern, target_type, priority)
        for target_patterns, target_type in target_res
        for pattern, priority in target_patterns
    ]
    match_found = False

    # Group patterns by priority using itertools.groupby
    for _, patterns_group in groupby(sorted(all_patterns, key=lambda x: x[2]), key=lambda x: x[2]):
        # Find all matches for each pattern in this priority group
        matches_with_pos = (
            (match, match.start(), match.end(), target_type)
            for pattern, target_type, _ in patterns_group
            for match in pattern.finditer(pred)
        )

        # Sort matches by end position (rightmost first) and then by start position (leftmost first)
        matches_with_pos = sorted(matches_with_pos, key=lambda x: (x[2], -x[1]), reverse=True)

        # Try to extract from each match, starting from rightmost
        for match, _, _, target_type in matches_with_pos:
            extracted_match, str_fallback = extract_match(match, target_type, timeout_seconds)
            match_found = True

            if str_fallback:
                fallbacks.append(str_fallback)

            if extracted_match is not None:
                extracted_predictions.append(extracted_match)
                break

            if extraction_mode == ""first_match"":
                break

        # If we found something and we're in first_match mode, stop processing other priorities
        if extracted_predictions or (match_found and extraction_mode == ""first_match""):
            break

    if fallback_mode == ""first_match"" and fallbacks:
        extracted_predictions += [fallbacks[0]]

    return extracted_predictions
",verified
F030,livebench,default_cap,Generation CLI defaults the maximum new-token allowance to 4096.,LiveBench/LiveBench,00eae856aa1c1a9e9d058a65a9a94d85884034c4,livebench/gen_api_answer.py,380,388,https://github.com/LiveBench/LiveBench/blob/00eae856aa1c1a9e9d058a65a9a94d85884034c4/livebench/gen_api_answer.py#L380-L388,"    parser.add_argument(
        ""--force-temperature"", type=float, help=""Forcibly set a sampling temperature.""
    )
    parser.add_argument(
        ""--max-tokens"",
        type=int,
        default=4096,
        help=""The maximum number of new generated tokens."",
    )
",verified
F031,livebench,extraction_scoring,AIME scoring marks correct when gold occurs anywhere in the last 50 characters.,LiveBench/LiveBench,00eae856aa1c1a9e9d058a65a9a94d85884034c4,livebench/process_results/math/math_competitions/utils.py,87,104,https://github.com/LiveBench/LiveBench/blob/00eae856aa1c1a9e9d058a65a9a94d85884034c4/livebench/process_results/math/math_competitions/utils.py#L87-L104,"def aime_process_results(ground_truth: str, llm_answer: str, debug=False) -> int:
    score = 0

    # extract text from <solution></solution> tags
    solution_matches = re.findall(r'<solution>(.*?)</solution>', llm_answer)
    if len(solution_matches) > 0:
        solution_match = solution_matches[-1]
        if len(set(solution_match)) == 1 and next(iter(set(solution_match))).lower() == ground_truth.lower():
            score = 1

    if score == 0 and ground_truth in llm_answer[-50:]:
        score = 1

    if debug and score == 0:
        print('INCORRECT')
        print('GROUND TRUTH', ground_truth)
        print('SOLUTION', llm_answer[-200:])
    return score
",verified
F032,livebench,extraction_fallback,"Math contest scoring includes last-boxed, trailing-value, and last-line/parenthesis fallbacks.",LiveBench/LiveBench,00eae856aa1c1a9e9d058a65a9a94d85884034c4,livebench/process_results/math/math_competitions/utils.py,22,50,https://github.com/LiveBench/LiveBench/blob/00eae856aa1c1a9e9d058a65a9a94d85884034c4/livebench/process_results/math/math_competitions/utils.py#L22-L50,"    parsed_answer = None

    allow_boxed = True
    if score == 0 and allow_boxed:
        llm_answer = llm_answer.replace(""\\\\fbox{"", ""\\\\boxed{"")
        last_boxed = last_boxed_only_string(llm_answer)
        if last_boxed:
            last_boxed_res = remove_boxed(last_boxed).replace('\\text{', '').replace('}', '').replace('\\', '').lower()
            if last_boxed_res in {'a', 'b', 'c', 'd', 'e'}:
                parsed_answer = last_boxed_res
            if parsed_answer == ground_truth.lower():
                score = 1

    allow_answer_values = True
    if score == 0 and allow_answer_values:
        value = extract_answer(question_text, ground_truth)
        length_to_check = 20 + len(value)
        if value in llm_answer[-length_to_check:]:
            score = 1

    allow_last_line = True
    if score == 0 and allow_last_line:
        last_line = llm_answer.strip().split('\n')[-1]
        if last_line.strip().replace('*', '').lower() == ground_truth.lower():
            score = 1
        elif '(' in last_line and ')' in last_line:
            val = last_line.split('(')[1].split(')')[0]
            if val.lower() == ground_truth.lower():
                score = 1
",verified
